event_id,event_date,event_type,symbol,node,asset_type,source,transmission_order,confidence,evidence_label,supporting_case_ids,evidence_reason,baseline_type,expected_direction,car,standardized_car,direction,hit,missing_data_reason,t0_date,alpha,beta
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,DSGX,customs,Stock,georisk,first_order,0.64,sector_proxy,case_china_gallium_germanium_graphite_controls;case_2023_china_graphite_battery_export_controls,"Channel support inherited from transmission node 'customs', which is a first-order (directly implicated) node corroborated by 2 retrieved case(s). The Descartes Systems Group Inc maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.02542989778560758,0.8466504799014427,positive,False,,2025-10-10,-0.00191226259822634,0.8823640816708965
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,CHRW,customs,Stock,georisk,first_order,0.64,sector_proxy,case_china_gallium_germanium_graphite_controls;case_2023_china_graphite_battery_export_controls,"Channel support inherited from transmission node 'customs', which is a first-order (directly implicated) node corroborated by 2 retrieved case(s). C H Robinson Worldwide Inc maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.06905720647127522,-1.926315864285875,negative,False,,2025-10-10,0.001795601975927673,0.6768605003730074
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,DE,manufacturing_inputs,Stock,georisk,first_order,0.64,sector_proxy,case_china_gallium_germanium_graphite_controls;case_rare_earth_export_restriction_risk;case_2023_china_graphite_battery_export_controls,"Channel support inherited from transmission node 'manufacturing_inputs', which is a first-order (directly implicated) node corroborated by 3 retrieved case(s). Deere & Company maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.03202103024240036,-1.360480759780756,negative,False,,2025-10-10,-0.0011038857160225214,0.8472750923940138
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,CAT,manufacturing_inputs,Stock,georisk,first_order,0.64,sector_proxy,case_china_gallium_germanium_graphite_controls;case_rare_earth_export_restriction_risk;case_2023_china_graphite_battery_export_controls,"Channel support inherited from transmission node 'manufacturing_inputs', which is a first-order (directly implicated) node corroborated by 3 retrieved case(s). Caterpillar Inc maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.01588638481682387,0.8681324712548819,positive,False,,2025-10-10,0.0017430882779275922,1.0514593587836045
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,REMX,critical_minerals,ETF,georisk,first_order,0.64,sector_proxy,case_china_gallium_germanium_graphite_controls;case_rare_earth_export_restriction_risk;case_2023_china_graphite_battery_export_controls,"Channel support inherited from transmission node 'critical_minerals', which is a first-order (directly implicated) node corroborated by 3 retrieved case(s). VanEck Rare Earth and Strategic Metals ETF maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.07720380963928461,1.9562727992414162,positive,False,,2025-10-10,0.0031606448844751045,0.9780396861210201
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,PICK,critical_minerals,ETF,georisk,first_order,0.64,sector_proxy,case_china_gallium_germanium_graphite_controls;case_rare_earth_export_restriction_risk;case_2023_china_graphite_battery_export_controls,"Channel support inherited from transmission node 'critical_minerals', which is a first-order (directly implicated) node corroborated by 3 retrieved case(s). iShares MSCI Global Metals & Mining Producers ETF maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.013235064582453472,0.7020695128152932,positive,False,,2025-10-10,0.0006674248558877758,0.8972214337772545
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,MP,rare_earths,Stock,georisk,first_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk,"Channel support inherited from transmission node 'rare_earths', which is a first-order (directly implicated) node corroborated by 1 retrieved case(s). MP Materials Corp maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.303115928553071,2.4741389653975436,positive,True,,2025-10-10,0.009377381472928768,0.6889907107230404
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,LYSDY,rare_earths,ADR,georisk,first_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk,"Channel support inherited from transmission node 'rare_earths', which is a first-order (directly implicated) node corroborated by 1 retrieved case(s). Lynas Rare Earths Ltd ADR maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.12865857966068386,2.075690573926679,positive,True,,2025-10-10,0.00730042584890405,0.5299668682684122
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,NEO.TO,gallium_germanium_graphite,Stock,georisk,first_order,0.64,sector_proxy,case_china_gallium_germanium_graphite_controls;case_2023_china_graphite_battery_export_controls,"Channel support inherited from transmission node 'gallium_germanium_graphite', which is a first-order (directly implicated) node corroborated by 2 retrieved case(s). Neo Performance Materials Inc maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.12413131439737109,2.1906790200537523,positive,True,,2025-10-10,0.006253092988124109,0.9690439331799843
candidate_d41a5f82d14a,2025-10-10,critical minerals resource restrictions,SYR.AX,gallium_germanium_graphite,Stock,georisk,first_order,0.64,sector_proxy,case_china_gallium_germanium_graphite_controls;case_2023_china_graphite_battery_export_controls,"Channel support inherited from transmission node 'gallium_germanium_graphite', which is a first-order (directly implicated) node corroborated by 2 retrieved case(s). Syrah Resources Ltd maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.2334238386940041,2.390445214741341,positive,True,,2025-10-10,0.0013010037569683524,0.3378584369001066
