event_id,node,mechanism_target,legacy_support_count,mechanism_compatible_support_count,exact_support_count,canonical_family_support_count,insufficient_context_count,legacy_keep,v4_keep,decision_changed,change_reason,compatible_case_ids,incompatible_case_ids,insufficient_context_case_ids
dev_red_sea_shipping_disruption,container_shipping,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2008_somali_piracy_gulf_of_aden;case_2023_red_sea_attacks,,
dev_red_sea_shipping_disruption,marine_insurance,compatible_support_expected,2,2,1,0,0,True,True,False,unchanged,case_2023_red_sea_attacks;case_hormuz_tanker_tensions,,
dev_red_sea_shipping_disruption,defense,weak_cooccurrence_expected,2,0,0,0,0,True,False,True,raw_node_cooccurrence_not_mechanism_compatible,,case_2019_turkey_f35_s400_defense_restrictions;case_2023_south_china_sea_shipping_tensions,
dev_energy_sanctions_oil_shipping,financial_sanctions,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2018_iran_swift_restrictions;case_2022_russia_swift_financial_sanctions,,
dev_energy_sanctions_oil_shipping,oil_shipping,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2018_iran_oil_sanctions_reimposition;case_2019_cosco_shipping_sanctions_tanker_market,,
dev_energy_sanctions_oil_shipping,energy,compatible_support_expected,2,2,1,1,0,True,True,False,unchanged,case_2019_venezuela_oil_sanctions;case_2022_russia_swift_financial_sanctions,,
dev_graphite_export_controls,battery_materials,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2022_chile_lithium_policy_shift;case_2023_china_graphite_battery_export_controls,,
dev_graphite_export_controls,critical_minerals,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2020_indonesia_nickel_export_ban;case_2024_drc_cobalt_copper_mining_disruption,,
dev_semiconductor_export_controls,semiconductor_equipment,compatible_support_expected,3,3,3,0,0,True,True,False,unchanged,case_2019_huawei_entity_list;case_2023_dutch_asml_controls;case_2023_japan_chip_equipment_export_controls,,
dev_semiconductor_export_controls,defense,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2024_taiwan_strait_drills_semiconductor_supply;case_taiwan_strait_semiconductor_risk,,
dev_food_export_restriction,grain_exports,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2008_rice_export_restrictions_food_security;case_2022_india_wheat_export_ban,,
dev_food_export_restriction,agriculture,weak_cooccurrence_expected,2,0,0,0,0,True,False,True,raw_node_cooccurrence_not_mechanism_compatible,,case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions,
dev_cyber_port_disruption,ports,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2023_dp_world_australia_cyber_port_disruption;case_2023_port_of_nagoya_cyberattack,,
dev_cyber_port_disruption,logistics,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2017_notpetya_shipping_logistics_cyberattack;case_2023_port_of_nagoya_cyberattack,,
dev_lng_shipping_sanctions,lng_shipping,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2022_nord_stream_pipeline_sabotage;case_2023_arctic_lng_russian_energy_shipping_sanctions,,
dev_lng_shipping_sanctions,marine_insurance,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2023_arctic_lng_russian_energy_shipping_sanctions;case_hormuz_tanker_tensions,,
dev_trade_tariff_customs,customs,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2018_2019_us_china_tariffs;case_2023_eu_carbon_border_adjustment_mechanism,,
dev_trade_tariff_customs,trade_lanes,compatible_support_expected,2,2,2,0,0,True,True,False,unchanged,case_2018_2019_us_china_tariffs;case_2023_eu_carbon_border_adjustment_mechanism,,
dev_cyber_port_disruption,energy,weak_cooccurrence_expected,2,0,0,0,0,True,False,True,raw_node_cooccurrence_not_mechanism_compatible,,case_2021_colonial_pipeline_ransomware;case_2022_gas_fertilizer_shock,
dev_graphite_export_controls,logistics,weak_cooccurrence_expected,2,0,0,0,0,True,False,True,raw_node_cooccurrence_not_mechanism_compatible,,case_2021_myanmar_coup_supply_chain_disruption;case_2024_us_east_gulf_port_strike,
dev_semiconductor_export_controls,aviation,weak_cooccurrence_expected,2,0,0,0,0,True,False,True,raw_node_cooccurrence_not_mechanism_compatible,,case_2019_india_pakistan_airspace_closure;case_2022_russia_airspace_closure_aviation_routes,
dev_food_export_restriction,financial_sanctions,weak_cooccurrence_expected,2,0,0,0,0,True,False,True,raw_node_cooccurrence_not_mechanism_compatible,,case_2014_crimea_financial_sanctions;case_2022_russia_swift_financial_sanctions,
dev_lng_shipping_sanctions,trade_lanes,ambiguous,2,0,0,0,2,True,False,True,legacy_raw_node_vote_lacks_sufficient_mechanism_context,,,case_2018_2019_us_china_tariffs;case_2023_arctic_lng_russian_energy_shipping_sanctions
dev_trade_tariff_customs,energy,weak_cooccurrence_expected,2,0,0,0,0,True,False,True,raw_node_cooccurrence_not_mechanism_compatible,,case_2022_russia_fertilizer_export_restrictions;case_2023_eu_carbon_border_adjustment_mechanism,
