event_id,event_date,event_type,event_headline,symbol,node,asset_type,linkage_tier,linkage_rationale,source,transmission_order,confidence,evidence_label,supporting_case_ids,evidence_reason,baseline_type,expected_direction,car,standardized_car,direction,hit,missing_data_reason,t0_date,alpha,beta
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,DSGX,customs,Stock,direct_exposure,Core operations or products are directly tied to the customs node: Logistics software provider with customs and trade compliance exposure,georisk,first_order,0.64,sector_proxy,case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls,"Channel support inherited from transmission node 'customs', which is a first-order (directly implicated) node corroborated by 2 retrieved case(s). The Descartes Systems Group Inc maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.06204161793179245,2.8067338928814816,positive,True,,2025-04-04,5.436949841511325e-05,1.281124461827401
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,CHRW,customs,Stock,related_exposure,"Freight brokerage and logistics services are affected by customs flows, but customs is one operating component within broader logistics activity.",georisk,first_order,0.64,sector_proxy,case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls,"Channel support inherited from transmission node 'customs', which is a first-order (directly implicated) node corroborated by 2 retrieved case(s). C H Robinson Worldwide Inc maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.07130574967750515,-2.73122583665382,negative,True,,2025-04-04,-0.00041515296296034624,0.5986777140762838
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,DE,manufacturing_inputs,Stock,related_exposure,Business has meaningful but diversified or indirect economic linkage to the manufacturing_inputs node: Equipment manufacturer exposed to agriculture and industrial input cycles,georisk,first_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls,"Channel support inherited from transmission node 'manufacturing_inputs', which is a first-order (directly implicated) node corroborated by 3 retrieved case(s). Deere & Company maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.04386404146475826,-1.5086187784606657,negative,False,,2025-04-04,0.0014445804936417076,0.5905225136386112
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,CAT,manufacturing_inputs,Stock,related_exposure,Business has meaningful but diversified or indirect economic linkage to the manufacturing_inputs node: Heavy equipment manufacturer exposed to construction mining and infrastructure inputs,georisk,first_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls,"Channel support inherited from transmission node 'manufacturing_inputs', which is a first-order (directly implicated) node corroborated by 3 retrieved case(s). Caterpillar Inc maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.05393970406258833,-2.141281540927875,negative,True,,2025-04-04,-0.0007805973791920502,1.0559517092068507
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,LMT,defense,Stock,direct_exposure,Core operations or products are directly tied to the defense node: Defense contractor exposed to government security and defense spending priorities,georisk,second_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo,"Channel support inherited from transmission node 'defense', which is a second-order (analog-corroborated) node corroborated by 2 retrieved case(s). Lockheed Martin Corporation maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.038604163766613936,-1.3343305039673532,negative,False,,2025-04-04,-0.0020030167291902805,0.036560240601965846
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,ITA,defense,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the defense node: ETF exposure to US aerospace and defense companies",georisk,second_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo,"Channel support inherited from transmission node 'defense', which is a second-order (analog-corroborated) node corroborated by 2 retrieved case(s). iShares U S Aerospace & Defense ETF maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.036659313967896116,-2.2281469053282104,negative,True,,2025-04-04,0.00043334905148875356,0.8268524518300513
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,REMX,critical_minerals,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the critical_minerals node: Basket exposure to rare earth and strategic metals producers used in critical supply chains",georisk,first_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls,"Channel support inherited from transmission node 'critical_minerals', which is a first-order (directly implicated) node corroborated by 3 retrieved case(s). VanEck Rare Earth and Strategic Metals ETF maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.07713954806696241,-2.255687357850474,negative,True,,2025-04-04,0.000645502818472441,0.5168886685263354
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,PICK,critical_minerals,ETF,broad_proxy,"Ticker is an ETF, fund, or basket used as broad proxy exposure for the critical_minerals node: Broad metals and mining producer ETF with critical materials exposure",georisk,first_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo;case_china_gallium_germanium_graphite_controls,"Channel support inherited from transmission node 'critical_minerals', which is a first-order (directly implicated) node corroborated by 3 retrieved case(s). iShares MSCI Global Metals & Mining Producers ETF maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,-0.0647294010477495,-2.8714878165444153,negative,True,,2025-04-04,-0.0006125702991417775,0.6897296500888626
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,MP,rare_earths,Stock,direct_exposure,Core operations or products are directly tied to the rare_earths node: Rare earth mining and processing company exposed to magnet materials supply chains,georisk,first_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo,"Channel support inherited from transmission node 'rare_earths', which is a first-order (directly implicated) node corroborated by 2 retrieved case(s). MP Materials Corp maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.13614717372794952,2.133843242401273,positive,True,,2025-04-04,0.004674733119175324,1.772419927485994
v3_20250404_china_rare_earth_export_controls,2025-04-04,critical_minerals_export_controls,China imposes rare-earth export controls after U.S. tariff escalation,LYSDY,rare_earths,ADR,direct_exposure,Core operations or products are directly tied to the rare_earths node: Rare earth producer with exposure to non-China rare earth supply chains,georisk,first_order,0.64,sector_proxy,case_rare_earth_export_restriction_risk;case_2010_china_japan_rare_earth_embargo,"Channel support inherited from transmission node 'rare_earths', which is a first-order (directly implicated) node corroborated by 2 retrieved case(s). Lynas Rare Earths Ltd ADR maps to this supported channel but is not individually named. Risk watchlist candidate, not a trading signal. This does not predict price movement.",,,0.10816871480883282,2.8005276838542628,positive,True,,2025-04-04,-0.0007303856130893419,0.4820581148816369
