event_source,event_id,event_name,ticker,asset_name,node,current_evidence_level,supporting_case_ids,historical_case_asset_types,historical_case_assets,close_match_rule_triggered,possible_unrecognized_direct_support,classification,reason
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,ENB,Enbridge Inc,pipeline_infrastructure,sector_proxy,case_2009_russia_ukraine_gas_transit_dispute;case_2022_nord_stream_pipeline_sabotage,gas utilities;pipeline operators;chemical producers;industrial manufacturers;LNG suppliers;natural gas;LNG infrastructure;utilities;manufacturers,Ukraine gas transit routes;European gas storage;energy-intensive manufacturing;LNG procurement options;European gas infrastructure;LNG import capacity;power generation inputs,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_russia_europe_gas_disruption,eval_russia_europe_gas_disruption,TRP.TO,TC Energy Corporation,pipeline_infrastructure,sector_proxy,case_2009_russia_ukraine_gas_transit_dispute;case_2022_nord_stream_pipeline_sabotage,gas utilities;pipeline operators;chemical producers;industrial manufacturers;LNG suppliers;natural gas;LNG infrastructure;utilities;manufacturers,Ukraine gas transit routes;European gas storage;energy-intensive manufacturing;LNG procurement options;European gas infrastructure;LNG import capacity;power generation inputs,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,CHRW,C H Robinson Worldwide Inc,customs,sector_proxy,case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions,fertilizer producers;agricultural commodities;grain producers;logistics providers;food producers;agribusiness firms;grain traders,Belarus potash exports;fertilizer import supply chains;agricultural input costs;Baltic port logistics;nitrogen and potash fertilizer flows;Brazil crop input supply;agricultural logistics;food production input costs,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,DHL.DE,DHL Group,trade_lanes,sector_proxy,case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions,fertilizer producers;agricultural commodities;grain producers;logistics providers;food producers;agribusiness firms;grain traders,Belarus potash exports;fertilizer import supply chains;agricultural input costs;Baltic port logistics;nitrogen and potash fertilizer flows;Brazil crop input supply;agricultural logistics;food production input costs,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,DSGX,The Descartes Systems Group Inc,customs,sector_proxy,case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions,fertilizer producers;agricultural commodities;grain producers;logistics providers;food producers;agribusiness firms;grain traders,Belarus potash exports;fertilizer import supply chains;agricultural input costs;Baltic port logistics;nitrogen and potash fertilizer flows;Brazil crop input supply;agricultural logistics;food production input costs,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,EXPD,Expeditors International of Washington Inc,trade_lanes,sector_proxy,case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions,fertilizer producers;agricultural commodities;grain producers;logistics providers;food producers;agribusiness firms;grain traders,Belarus potash exports;fertilizer import supply chains;agricultural input costs;Baltic port logistics;nitrogen and potash fertilizer flows;Brazil crop input supply;agricultural logistics;food production input costs,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,JBHT,J B Hunt Transport Services Inc,logistics,sector_proxy,case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions,fertilizer producers;agricultural commodities;grain producers;logistics providers;food producers;agribusiness firms;grain traders,Belarus potash exports;fertilizer import supply chains;agricultural input costs;Baltic port logistics;nitrogen and potash fertilizer flows;Brazil crop input supply;agricultural logistics;food production input costs,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_natural_gas_fertilizer_shock,eval_natural_gas_fertilizer_shock,KNIN.SW,Kuehne + Nagel International AG,logistics,sector_proxy,case_2021_belarus_potash_sanctions;case_2022_russia_fertilizer_export_restrictions,fertilizer producers;agricultural commodities;grain producers;logistics providers;food producers;agribusiness firms;grain traders,Belarus potash exports;fertilizer import supply chains;agricultural input costs;Baltic port logistics;nitrogen and potash fertilizer flows;Brazil crop input supply;agricultural logistics;food production input costs,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_us_china_tariffs,eval_us_china_tariffs,PICK,iShares MSCI Global Metals & Mining Producers ETF,critical_minerals,sector_proxy,case_2024_ev_tariff_escalation_china;case_2021_xinjiang_forced_labor_import_restrictions,EV manufacturers;battery suppliers;solar equipment producers;logistics providers;manufacturers;solar equipment manufacturers;electronics importers;retailers;customs brokers,EV import flows;battery component supply chains;solar equipment imports;clean technology manufacturing inputs;solar module supply chains;polysilicon-linked inputs;electronics imports;customs compliance workflows,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_us_china_tariffs,eval_us_china_tariffs,REMX,VanEck Rare Earth and Strategic Metals ETF,critical_minerals,sector_proxy,case_2024_ev_tariff_escalation_china;case_2021_xinjiang_forced_labor_import_restrictions,EV manufacturers;battery suppliers;solar equipment producers;logistics providers;manufacturers;solar equipment manufacturers;electronics importers;retailers;customs brokers,EV import flows;battery component supply chains;solar equipment imports;clean technology manufacturing inputs;solar module supply chains;polysilicon-linked inputs;electronics imports;customs compliance workflows,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_huawei_entity_list,eval_huawei_entity_list,CAT,Caterpillar Inc,manufacturing_inputs,sector_proxy,case_2020_smic_entity_list_semiconductor_controls;case_2019_huawei_entity_list,semiconductor equipment suppliers;foundries;EDA software providers;electronics manufacturers;data center hardware suppliers;telecom equipment vendors;semiconductor suppliers;software providers;5G infrastructure;consumer electronics,China foundry capacity;chip equipment licenses;EDA design workflows;electronics manufacturing inputs;Huawei supply chain;US chip suppliers;mobile device software ecosystems;telecom carrier procurement plans,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_huawei_entity_list,eval_huawei_entity_list,DE,Deere & Company,manufacturing_inputs,sector_proxy,case_2020_smic_entity_list_semiconductor_controls;case_2019_huawei_entity_list,semiconductor equipment suppliers;foundries;EDA software providers;electronics manufacturers;data center hardware suppliers;telecom equipment vendors;semiconductor suppliers;software providers;5G infrastructure;consumer electronics,China foundry capacity;chip equipment licenses;EDA design workflows;electronics manufacturing inputs;Huawei supply chain;US chip suppliers;mobile device software ecosystems;telecom carrier procurement plans,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_dutch_asml_export_controls,eval_dutch_asml_export_controls,CAT,Caterpillar Inc,manufacturing_inputs,sector_proxy,case_2020_smic_entity_list_semiconductor_controls;case_2023_japan_chip_equipment_export_controls,semiconductor equipment suppliers;foundries;EDA software providers;electronics manufacturers;data center hardware suppliers;AI chip designers;data center operators,China foundry capacity;chip equipment licenses;EDA design workflows;electronics manufacturing inputs;Japanese chipmaking tools;advanced foundry capacity;AI accelerator supply chains;data center hardware procurement,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_dutch_asml_export_controls,eval_dutch_asml_export_controls,DE,Deere & Company,manufacturing_inputs,sector_proxy,case_2020_smic_entity_list_semiconductor_controls;case_2023_japan_chip_equipment_export_controls,semiconductor equipment suppliers;foundries;EDA software providers;electronics manufacturers;data center hardware suppliers;AI chip designers;data center operators,China foundry capacity;chip equipment licenses;EDA design workflows;electronics manufacturing inputs;Japanese chipmaking tools;advanced foundry capacity;AI accelerator supply chains;data center hardware procurement,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,CB,Chubb Limited,marine_insurance,sector_proxy,case_2023_black_sea_shipping_insurance_restrictions;case_2023_red_sea_attacks,grain traders;shipping companies;marine insurers;food producers;agricultural commodities;shipping equities;freight rates;energy transport;import-dependent retailers,Ukrainian grain exports;Black Sea shipping routes;marine war-risk insurance;grain import supply chains;container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_black_sea_grain_export_disruption,eval_black_sea_grain_export_disruption,TRV,The Travelers Companies Inc,marine_insurance,sector_proxy,case_2023_black_sea_shipping_insurance_restrictions;case_2023_red_sea_attacks,grain traders;shipping companies;marine insurers;food producers;agricultural commodities;shipping equities;freight rates;energy transport;import-dependent retailers,Ukrainian grain exports;Black Sea shipping routes;marine war-risk insurance;grain import supply chains;container carriers;tanker operators;marine insurance underwriters;European importers;Asian exporters,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,CAT,Caterpillar Inc,manufacturing_inputs,sector_proxy,case_2023_port_of_nagoya_cyberattack;case_2017_notpetya_shipping_logistics_cyberattack,port operators;logistics providers;automakers;cybersecurity companies;manufacturers;shipping companies;cybersecurity providers,container terminal operations;automotive parts logistics;port scheduling systems;cybersecurity services;container booking systems;terminal operations;global freight schedules;manufacturing delivery networks,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_cyber_port_pipeline_disruption,eval_cyber_port_pipeline_disruption,DE,Deere & Company,manufacturing_inputs,sector_proxy,case_2023_port_of_nagoya_cyberattack;case_2017_notpetya_shipping_logistics_cyberattack,port operators;logistics providers;automakers;cybersecurity companies;manufacturers;shipping companies;cybersecurity providers,container terminal operations;automotive parts logistics;port scheduling systems;cybersecurity services;container booking systems;terminal operations;global freight schedules;manufacturing delivery networks,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,CHRW,C H Robinson Worldwide Inc,customs,sector_proxy,case_2022_india_wheat_export_ban;case_2008_rice_export_restrictions_food_security,grain traders;agricultural commodities;food producers;logistics providers;fertilizer producers;agricultural processors;commodity funds,wheat export flows;grain import supply chains;food manufacturing inputs;agricultural logistics;rice export flows;grain import procurement;food processing inputs;agricultural trade lanes,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,DBA,Invesco DB Agriculture Fund,food_export_controls,sector_proxy,case_2022_india_wheat_export_ban;case_2008_rice_export_restrictions_food_security,grain traders;agricultural commodities;food producers;logistics providers;fertilizer producers;agricultural processors;commodity funds,wheat export flows;grain import supply chains;food manufacturing inputs;agricultural logistics;rice export flows;grain import procurement;food processing inputs;agricultural trade lanes,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,DHL.DE,DHL Group,trade_lanes,sector_proxy,case_2022_india_wheat_export_ban;case_2008_rice_export_restrictions_food_security,grain traders;agricultural commodities;food producers;logistics providers;fertilizer producers;agricultural processors;commodity funds,wheat export flows;grain import supply chains;food manufacturing inputs;agricultural logistics;rice export flows;grain import procurement;food processing inputs;agricultural trade lanes,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,DSGX,The Descartes Systems Group Inc,customs,sector_proxy,case_2022_india_wheat_export_ban;case_2008_rice_export_restrictions_food_security,grain traders;agricultural commodities;food producers;logistics providers;fertilizer producers;agricultural processors;commodity funds,wheat export flows;grain import supply chains;food manufacturing inputs;agricultural logistics;rice export flows;grain import procurement;food processing inputs;agricultural trade lanes,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,EXPD,Expeditors International of Washington Inc,trade_lanes,sector_proxy,case_2022_india_wheat_export_ban;case_2008_rice_export_restrictions_food_security,grain traders;agricultural commodities;food producers;logistics providers;fertilizer producers;agricultural processors;commodity funds,wheat export flows;grain import supply chains;food manufacturing inputs;agricultural logistics;rice export flows;grain import procurement;food processing inputs;agricultural trade lanes,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
evaluation_cases,eval_food_export_grain_restriction,eval_food_export_grain_restriction,WEAT,Teucrium Wheat Fund,food_export_controls,sector_proxy,case_2022_india_wheat_export_ban;case_2008_rice_export_restrictions_food_security,grain traders;agricultural commodities;food producers;logistics providers;fertilizer producers;agricultural processors;commodity funds,wheat export flows;grain import supply chains;food manufacturing inputs;agricultural logistics;rice export flows;grain import procurement;food processing inputs;agricultural trade lanes,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
hard_evaluation_cases,hard_semiconductor_controls_paraphrased,hard_semiconductor_controls_paraphrased,CAT,Caterpillar Inc,manufacturing_inputs,sector_proxy,case_2023_japan_chip_equipment_export_controls;case_2019_huawei_entity_list,semiconductor equipment suppliers;foundries;AI chip designers;electronics manufacturers;data center operators;telecom equipment vendors;semiconductor suppliers;software providers;5G infrastructure;consumer electronics,Japanese chipmaking tools;advanced foundry capacity;AI accelerator supply chains;data center hardware procurement;Huawei supply chain;US chip suppliers;mobile device software ecosystems;telecom carrier procurement plans,False,True,possible_false_downgrade,"Supporting cases contain asset-type/category text overlapping the asset/node metadata, but the current direct historical support rules did not upgrade this exposure."
